fips_full,geographic_id,tract_id,location_name,year,black_population,total_population,black_percent,black_pop_change,black_pop_pct_change,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001010201,G1100010010201,010201,Census Tract 102.01,2020,853,3341,0.2553127806046094,NA,NA,010201,010201,010201,0,NA,NA,NA,NA
11001000101,G1100010000101,000101,Census Tract 1.01,2020,47,1406,0.03342816500711237,NA,NA,000101,000101,000101,0,NA,NA,NA,NA
11001003702,G1100010003702,003702,Census Tract 37.02,2020,1111,2906,0.3823124569855472,NA,NA,003702,003702,003702,0,NA,NA,NA,NA
11001008100,G1100010008100,008100,Tract   81,1970,4147,4711,0.8802801952876247,NA,NA,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001008100,G1100010008100,008100,State: 11 County: 001 Tract: 81,1980,1870,3199,0.5845576742732104,-2277,-54.907161803713535,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001008100,G1100010008100,008100,Census Tract 81,2000,820,2527,0.32449544914918876,-1050,-56.14973262032086,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001008100,G1100010008100,008100,Census Tract 81,2010,422,2910,0.1450171821305842,-398,-48.536585365853654,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001008100,G1100010008100,008100,Census Tract 81,2020,245,3153,0.07770377418331748,-177,-41.943127962085306,008100,008100,008100,3,The Night Rhonda Ferguson Was Killed | Gospel,East Capitol Street NE | Party House | Massachusetts Avenue NW,Route | Setting,Street | House
11001000502,G1100010000502,000502,State: 11 County: 001 Tract: 5.02,1980,154,3487,0.04416403785488959,NA,NA,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,Tract 5.02,1990,134,3816,0.03511530398322851,-20,-12.987012987012983,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,Census Tract 5.02,2000,83,3112,0.02667095115681234,-51,-38.059701492537314,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,Census Tract 5.02,2010,95,3189,0.02978990279084352,12,14.457831325301203,000502,000502,000502,0,NA,NA,NA,NA
11001000502,G1100010000502,000502,Census Tract 5.02,2020,118,3418,0.03452311293153891,23,24.210526315789473,000502,000502,000502,0,NA,NA,NA,NA
11001001401,G1100010001401,001401,Tract 14.01,1990,157,3077,0.05102372440688983,NA,NA,001401,001401,001401,0,NA,NA,NA,NA
11001001401,G1100010001401,001401,Census Tract 14.01,2000,157,3150,0.04984126984126984,0,0,001401,001401,001401,0,NA,NA,NA,NA
11001001401,G1100010001401,001401,Census Tract 14.01,2010,178,3078,0.05782975958414554,21,13.375796178343949,001401,001401,001401,0,NA,NA,NA,NA
11001001401,G1100010001401,001401,Census Tract 14.01,2020,214,3258,0.06568446899938613,36,20.224719101123593,001401,001401,001401,0,NA,NA,NA,NA
11001001901,G1100010001901,001901,State: 11 County: 001 Tract: 19.01,1980,4752,4910,0.9678207739307536,NA,NA,001901,001901,001901,0,NA,NA,NA,NA
11001001901,G1100010001901,001901,Tract 19.01,1990,4155,4383,0.94798083504449,-597,-12.563131313131311,001901,001901,001901,0,NA,NA,NA,NA
11001001901,G1100010001901,001901,Census Tract 19.01,2000,3586,3949,0.9080779944289692,-569,-13.694344163658242,001901,001901,001901,0,NA,NA,NA,NA
11001001901,G1100010001901,001901,Census Tract 19.01,2010,3023,4016,0.7527390438247012,-563,-15.69994422755159,001901,001901,001901,0,NA,NA,NA,NA
11001001901,G1100010001901,001901,Census Tract 19.01,2020,2185,4206,0.5194959581550166,-838,-27.72080714521998,001901,001901,001901,0,NA,NA,NA,NA
11001002202,G1100010002202,002202,Tract   22.02,1970,3412,3773,0.904320169626292,NA,NA,002202,002202,002202,0,NA,NA,NA,NA
11001002202,G1100010002202,002202,State: 11 County: 001 Tract: 22.02,1980,3326,3478,0.9562967222541692,-86,-2.5205158264947247,002202,002202,002202,0,NA,NA,NA,NA
11001002202,G1100010002202,002202,Tract 22.02,1990,3132,3297,0.9499545040946314,-194,-5.832832230907998,002202,002202,002202,0,NA,NA,NA,NA
11001002202,G1100010002202,002202,Census Tract 22.02,2000,2702,3013,0.8967806173249253,-430,-13.729246487867178,002202,002202,002202,0,NA,NA,NA,NA
11001002202,G1100010002202,002202,Census Tract 22.02,2010,2177,3087,0.7052154195011338,-525,-19.4300518134715,002202,002202,002202,0,NA,NA,NA,NA
11001002202,G1100010002202,002202,Census Tract 22.02,2020,1636,3339,0.48996705600479185,-541,-24.850711988975657,002202,002202,002202,0,NA,NA,NA,NA
11001002702,G1100010002702,002702,Tract   27.02,1970,3718,5926,0.627404657441782,NA,NA,002702,002702,002702,0,NA,NA,NA,NA
11001002702,G1100010002702,002702,State: 11 County: 001 Tract: 27.02,1980,2635,4901,0.5376453784941848,-1083,-29.12856374394836,002702,002702,002702,0,NA,NA,NA,NA
11001002702,G1100010002702,002702,Tract 27.02,1990,2022,6242,0.3239346363345082,-613,-23.263757115749524,002702,002702,002702,0,NA,NA,NA,NA
11001002702,G1100010002702,002702,Census Tract 27.02,2000,1214,6052,0.2005948446794448,-808,-39.960435212660734,002702,002702,002702,0,NA,NA,NA,NA
11001002702,G1100010002702,002702,Census Tract 27.02,2010,699,5226,0.13375430539609645,-515,-42.42174629324547,002702,002702,002702,0,NA,NA,NA,NA
11001002702,G1100010002702,002702,Census Tract 27.02,2020,626,5825,0.10746781115879828,-73,-10.44349070100143,002702,002702,002702,0,NA,NA,NA,NA
