fips_full,census_tract,total_crime,violent_crime,property_crime,year,tract_id,geography,source,data_type,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001011001,011001,36,NA,NA,2020,011001,tract,NA,NA,011001,011001,011001,0,NA,NA,NA,NA
11001002504,002504,101,NA,NA,2020,002504,tract,NA,NA,002504,002504,002504,0,NA,NA,NA,NA
11001000803,000803,10,NA,NA,2020,000803,tract,NA,NA,000803,000803,000803,0,NA,NA,NA,NA
11001005801,005801,157,NA,NA,2020,005801,tract,NA,NA,005801,005801,005801,2,The Store | His Mother's House,F Street NW | 5th Street NW,Projected Space | Setting,Street
11001000400,000400,74,4,70,2010,000400,tract,DC Open Data Crime Incidents,crime_counts_by_tract,000400,000400,000400,0,NA,NA,NA,NA
11001000400,000400,45,NA,NA,2020,000400,tract,NA,NA,000400,000400,000400,0,NA,NA,NA,NA
11001002501,002501,125,50,75,2010,002501,tract,DC Open Data Crime Incidents,crime_counts_by_tract,002501,002501,002501,0,NA,NA,NA,NA
11001002501,002501,115,NA,NA,2020,002501,tract,NA,NA,002501,002501,002501,0,NA,NA,NA,NA
11001006802,006802,52,8,44,2010,006802,tract,DC Open Data Crime Incidents,crime_counts_by_tract,006802,006802,006802,1,An Orange Line Train to Ballston,Potomac Avenue,Route,Street
11001006802,006802,79,NA,NA,2020,006802,tract,NA,NA,006802,006802,006802,1,An Orange Line Train to Ballston,Potomac Avenue,Route,Street
11001007807,007807,151,38,113,2010,007807,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007807,007807,007807,0,NA,NA,NA,NA
11001007807,007807,188,NA,NA,2020,007807,tract,NA,NA,007807,007807,007807,0,NA,NA,NA,NA
11001007000,007000,214,31,183,2010,007000,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007000,007000,007000,0,NA,NA,NA,NA
11001007000,007000,170,NA,NA,2020,007000,tract,NA,NA,007000,007000,007000,0,NA,NA,NA,NA
11001006500,006500,110,12,98,2010,006500,tract,DC Open Data Crime Incidents,crime_counts_by_tract,006500,006500,006500,0,NA,NA,NA,NA
11001006500,006500,126,NA,NA,2020,006500,tract,NA,NA,006500,006500,006500,0,NA,NA,NA,NA
11001006900,006900,160,21,139,2010,006900,tract,DC Open Data Crime Incidents,crime_counts_by_tract,006900,006900,006900,1,An Orange Line Train to Ballston,Kentucky Avenue,Route,Street
11001006900,006900,171,NA,NA,2020,006900,tract,NA,NA,006900,006900,006900,1,An Orange Line Train to Ballston,Kentucky Avenue,Route,Street
11001008001,008001,149,21,128,2010,008001,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008001,008001,008001,1,Marie,13th Stree & D Street NE,Setting,Street
11001008001,008001,154,NA,NA,2020,008001,tract,NA,NA,008001,008001,008001,1,Marie,13th Stree & D Street NE,Setting,Street
11001001303,001303,108,NA,NA,2020,001303,tract,NA,NA,001303,001303,001303,0,NA,NA,NA,NA
11001010601,010601,263,NA,NA,2020,010601,tract,NA,NA,010601,010601,010601,0,NA,NA,NA,NA
11001004703,004703,142,NA,NA,2020,004703,tract,NA,NA,004703,004703,004703,5,The Girl Who Raised Pigeons | The Store | Lost in the City,Miles Patterson's House | Peoples Drug | New York Avenue & 5th Street NW | K Street NW,Setting | Marker | Route,House | Store | Street
11001003901,003901,112,NA,NA,2020,003901,tract,NA,NA,003901,003901,003901,0,NA,NA,NA,NA
11001002201,002201,103,34,69,2010,002201,tract,DC Open Data Crime Incidents,crime_counts_by_tract,002201,002201,002201,0,NA,NA,NA,NA
11001002201,002201,101,NA,NA,2020,002201,tract,NA,NA,002201,002201,002201,0,NA,NA,NA,NA
11001007901,007901,215,65,150,2010,007901,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007901,007901,007901,0,NA,NA,NA,NA
11001007901,007901,231,NA,NA,2020,007901,tract,NA,NA,007901,007901,007901,0,NA,NA,NA,NA
11001009203,009203,102,19,83,2010,009203,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009203,009203,009203,0,NA,NA,NA,NA
11001009203,009203,94,NA,NA,2020,009203,tract,NA,NA,009203,009203,009203,0,NA,NA,NA,NA
11001005601,005601,89,NA,NA,2020,005601,tract,NA,NA,005601,005601,005601,1,Lost in the City,George Washington Hospital,Setting,Hospital
11001004704,004704,3,2,1,2010,004704,tract,DC Open Data Crime Incidents,crime_counts_by_tract,004704,004704,004704,8,The Girl Who Raised Pigeons | The First Day | The Sunday Following Mother's Day,Ralph?s L Street House | Mt. Airy Baptist Church | New York Avenue NW | Pierce Street NW | L Street NW | K Street NW | Walker-Jones Elementary School,Setting | Marker | Route,House | Church | Street | School
11001004704,004704,74,NA,NA,2020,004704,tract,NA,NA,004704,004704,004704,8,The Girl Who Raised Pigeons | The First Day | The Sunday Following Mother's Day,Ralph?s L Street House | Mt. Airy Baptist Church | New York Avenue NW | Pierce Street NW | L Street NW | K Street NW | Walker-Jones Elementary School,Setting | Marker | Route,House | Church | Street | School
11001003902,003902,63,NA,NA,2020,003902,tract,NA,NA,003902,003902,003902,0,NA,NA,NA,NA
11001001003,001003,49,NA,NA,2020,001003,tract,NA,NA,001003,001003,001003,0,NA,NA,NA,NA
11001009504,009504,148,19,129,2010,009504,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009504,009504,009504,0,NA,NA,NA,NA
11001009504,009504,135,NA,NA,2020,009504,tract,NA,NA,009504,009504,009504,0,NA,NA,NA,NA
11001001804,001804,192,39,153,2010,001804,tract,DC Open Data Crime Incidents,crime_counts_by_tract,001804,001804,001804,0,NA,NA,NA,NA
11001001804,001804,126,NA,NA,2020,001804,tract,NA,NA,001804,001804,001804,0,NA,NA,NA,NA
