fips_full,gisjoin,tract_id,location_name,year,population,attainment_broad,source,count,geographic_id,decade,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001003302,G1100010003302,003302,State: 11 County: 001 Tract: 33.02,1980,total,Some college/Associate's,1980 Census (DHN),186,G1100010003302,1980,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,"Census Tract 33.02, District of Columbia, District of Columbia",2010,total,Bachelor's degree+,ACS 2008-2012 - Total Population 25+ (B15002),1004,G1100010003302,2010,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,"Census Tract 33.02, District of Columbia, District of Columbia",2010,total,High school graduate,ACS 2008-2012 - Total Population 25+ (B15002),216,G1100010003302,2010,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,"Census Tract 33.02, District of Columbia, District of Columbia",2010,total,Less than high school,ACS 2008-2012 - Total Population 25+ (B15002),110,G1100010003302,2010,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,"Census Tract 33.02, District of Columbia, District of Columbia",2010,total,Some college/Associate's,ACS 2008-2012 - Total Population 25+ (B15002),244,G1100010003302,2010,003302,003302,003302,0,NA,NA,NA,NA
11001004801,G1100010004801,004801,Tract   48.01,1970,total,Bachelor's degree+,1970 Census (C2M),64,G1100010004801,1970,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,Tract   48.01,1970,total,High school graduate,1970 Census (C2M),339,G1100010004801,1970,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,Tract   48.01,1970,total,Less than high school,1970 Census (C2M),1562,G1100010004801,1970,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,Tract   48.01,1970,total,Some college/Associate's,1970 Census (C2M),55,G1100010004801,1970,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,State: 11 County: 001 Tract: 48.01,1980,total,Bachelor's degree+,1980 Census (DHN),123,G1100010004801,1980,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,State: 11 County: 001 Tract: 48.01,1980,total,High school graduate,1980 Census (DHN),181,G1100010004801,1980,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,State: 11 County: 001 Tract: 48.01,1980,total,Less than high school,1980 Census (DHN),803,G1100010004801,1980,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
